loan_id,' no_of_dependents',' education',' self_employed',' income_annum',' loan_amount',' loan_term',' cibil_score',' residential_assets_value',' commercial_assets_value',' luxury_assets_value',' bank_asset_value',' loan_status'
1941,0,' Graduate',' No',8600000,29000000,18,481,21200000,2600000,27700000,5400000,' Rejected'
1980,0,' Graduate',' No',8300000,31400000,18,558,13300000,2900000,25900000,6300000,' Approved'
72,5,' Graduate',' Yes',5300000,18600000,4,386,2700000,9700000,11900000,4200000,' Approved'
479,3,' Not Graduate',' Yes',3600000,8600000,8,790,5400000,5900000,9800000,5200000,' Approved'
1126,4,' Not Graduate',' No',7200000,27400000,8,735,14100000,14200000,19400000,9500000,' Approved'
4128,2,' Graduate',' No',5300000,13200000,10,500,4700000,9800000,20400000,2900000,' Rejected'
1360,5,' Graduate',' No',4700000,10200000,16,874,10800000,7700000,11100000,7000000,' Approved'
126,3,' Graduate',' No',200000,600000,16,821,400000,100000,500000,100000,' Approved'
3521,3,' Not Graduate',' No',6900000,22700000,4,650,900000,13400000,15500000,6400000,' Approved'
1230,4,' Graduate',' Yes',1800000,5800000,14,305,600000,3300000,3600000,2000000,' Rejected'
2123,2,' Graduate',' No',4700000,17700000,14,675,5800000,7200000,13100000,6500000,' Approved'
3102,1,' Not Graduate',' Yes',1600000,4400000,4,364,2500000,700000,4300000,2400000,' Rejected'
1692,1,' Not Graduate',' Yes',8900000,32000000,16,711,4300000,1200000,22100000,5200000,' Approved'
3613,0,' Not Graduate',' Yes',200000,700000,20,724,600000,0,500000,300000,' Approved'
21,2,' Graduate',' No',5000000,19400000,12,315,9500000,1600000,18000000,6100000,' Rejected'
698,0,' Graduate',' Yes',6000000,23900000,4,394,6700000,5800000,21900000,4500000,' Approved'
642,0,' Graduate',' Yes',7100000,20100000,16,756,8000000,5000000,17600000,5400000,' Approved'
1254,0,' Graduate',' Yes',3500000,11700000,14,649,2700000,700000,11400000,4800000,' Approved'
3828,1,' Graduate',' Yes',9600000,35900000,8,534,24500000,17700000,31900000,5400000,' Rejected'
2835,2,' Not Graduate',' No',2000000,4300000,16,497,5100000,200000,5700000,2800000,' Rejected'
477,4,' Not Graduate',' No',4100000,13500000,18,490,4700000,6200000,13900000,2000000,' Rejected'
1798,0,' Not Graduate',' Yes',8000000,21100000,6,306,16100000,11800000,28200000,8700000,' Rejected'
3291,1,' Graduate',' Yes',5400000,19300000,12,784,5000000,1800000,20300000,6500000,' Approved'
3947,1,' Graduate',' Yes',3500000,10800000,14,632,6900000,1500000,10900000,4200000,' Approved'
92,4,' Graduate',' No',8800000,20700000,18,540,19200000,3200000,22400000,12700000,' Rejected'
3444,0,' Not Graduate',' Yes',9100000,23300000,18,414,17700000,2500000,33800000,6400000,' Rejected'
1518,5,' Graduate',' No',5900000,13400000,6,455,3200000,11200000,21600000,6900000,' Rejected'
670,1,' Graduate',' No',6000000,20100000,6,476,13900000,10000000,15200000,5500000,' Rejected'
3310,1,' Not Graduate',' No',5800000,18700000,20,586,14100000,3000000,15600000,6000000,' Approved'
3129,1,' Not Graduate',' Yes',500000,1700000,18,617,400000,100000,1400000,500000,' Approved'
1422,4,' Not Graduate',' No',7100000,14300000,14,537,13700000,10400000,18200000,6100000,' Rejected'
2620,3,' Not Graduate',' No',2700000,10800000,6,480,4400000,0,10300000,3500000,' Rejected'
567,2,' Not Graduate',' No',2800000,5900000,6,895,1000000,3900000,10900000,1500000,' Approved'
4211,3,' Not Graduate',' Yes',9200000,35000000,4,716,1100000,10200000,33600000,11400000,' Approved'
3051,3,' Graduate',' No',3900000,9800000,6,604,10900000,7300000,7700000,3300000,' Approved'
2780,4,' Graduate',' Yes',3900000,9200000,12,737,2800000,2300000,12300000,5200000,' Approved'
283,0,' Graduate',' Yes',2800000,7800000,10,405,7800000,2500000,7100000,3400000,' Rejected'
2234,1,' Graduate',' Yes',7500000,21400000,20,655,13000000,10300000,28100000,8100000,' Approved'
2786,0,' Not Graduate',' No',7700000,29300000,14,801,6200000,11800000,23400000,4700000,' Approved'
2316,0,' Not Graduate',' No',2000000,4800000,20,337,1300000,2200000,5500000,1700000,' Rejected'
3202,0,' Not Graduate',' No',1200000,2900000,18,348,400000,1200000,2900000,600000,' Rejected'
2580,0,' Not Graduate',' Yes',3800000,10600000,12,490,3300000,6500000,14400000,3100000,' Rejected'
4014,0,' Graduate',' No',2500000,8900000,2,662,4000000,2100000,9700000,3000000,' Approved'
1337,4,' Graduate',' No',5500000,21200000,20,359,4200000,5300000,18600000,6400000,' Rejected'
2606,3,' Graduate',' Yes',7800000,27200000,16,560,3600000,8100000,21800000,8600000,' Approved'
3317,1,' Not Graduate',' No',2900000,11500000,20,431,3600000,3800000,5900000,3100000,' Rejected'
222,3,' Graduate',' Yes',7900000,21200000,18,695,13800000,10600000,21800000,4900000,' Approved'
3331,1,' Graduate',' No',6300000,17200000,12,714,10100000,4200000,24700000,8500000,' Approved'
2932,4,' Graduate',' Yes',4900000,12800000,2,691,200000,4900000,14700000,7000000,' Approved'
1311,2,' Graduate',' Yes',4900000,12000000,20,513,14200000,8100000,18300000,4800000,' Rejected'
323,4,' Graduate',' Yes',4900000,17100000,6,612,1300000,7000000,19500000,5000000,' Approved'
716,5,' Not Graduate',' No',3900000,14000000,4,708,700000,1800000,15600000,5200000,' Approved'
4062,5,' Not Graduate',' No',2000000,6900000,18,516,4600000,3400000,6500000,1600000,' Rejected'
2533,1,' Graduate',' No',9800000,37900000,4,816,21800000,12200000,26100000,8500000,' Approved'
2889,0,' Graduate',' No',6800000,21200000,14,300,0,8700000,16500000,10000000,' Rejected'
676,4,' Not Graduate',' Yes',4600000,9500000,20,613,5200000,5900000,13700000,3000000,' Approved'
3564,5,' Graduate',' No',6800000,19300000,6,865,12100000,100000,22900000,9000000,' Approved'
1921,4,' Not Graduate',' No',500000,1300000,6,809,200000,300000,900000,500000,' Approved'
1687,5,' Graduate',' No',3200000,8700000,16,558,2600000,2500000,9100000,1800000,' Approved'
1483,0,' Not Graduate',' Yes',2300000,6200000,8,712,6800000,1700000,8800000,1500000,' Approved'
572,0,' Graduate',' No',4700000,17500000,2,701,5400000,2300000,11700000,7000000,' Approved'
2590,4,' Graduate',' No',6700000,16000000,4,791,0,13000000,20700000,5200000,' Approved'
2343,4,' Not Graduate',' No',2000000,4800000,8,302,1500000,800000,4000000,2600000,' Rejected'
397,0,' Graduate',' No',600000,1700000,2,621,400000,400000,2000000,200000,' Approved'
3030,0,' Not Graduate',' Yes',2000000,5200000,18,400,1900000,1500000,5000000,1500000,' Rejected'
238,3,' Graduate',' Yes',4100000,15500000,6,667,2800000,1600000,14700000,4000000,' Approved'
52,2,' Graduate',' No',8700000,24700000,10,435,6800000,3500000,21800000,11300000,' Rejected'
3645,0,' Not Graduate',' No',5700000,13000000,6,328,7800000,7500000,20700000,8200000,' Rejected'
2929,5,' Graduate',' Yes',4100000,15500000,10,836,10500000,1100000,15200000,3600000,' Approved'
2381,0,' Graduate',' Yes',200000,300000,18,520,100000,300000,600000,100000,' Rejected'
2381,0,' Graduate',' Yes',200000,300000,18,520,100000,300000,600000,100000,' Rejected'
921,4,' Graduate',' Yes',8900000,20700000,6,684,1100000,9200000,20400000,6700000,' Approved'
343,4,' Graduate',' No',8000000,30100000,4,431,11900000,13800000,18800000,11500000,' Approved'
1498,0,' Not Graduate',' Yes',900000,2100000,6,521,100000,1700000,2100000,700000,' Rejected'
2687,4,' Not Graduate',' Yes',6400000,21300000,20,332,3600000,9100000,16200000,8000000,' Rejected'
4167,1,' Graduate',' No',500000,1300000,14,619,1500000,100000,2000000,500000,' Approved'
2966,1,' Not Graduate',' Yes',8000000,20700000,6,570,1000000,11700000,23200000,11300000,' Approved'
2629,3,' Graduate',' No',9900000,23600000,18,557,18300000,8600000,23000000,9100000,' Approved'
829,4,' Not Graduate',' No',6300000,21900000,10,538,9600000,5400000,19300000,7800000,' Rejected'
2141,2,' Not Graduate',' No',4800000,15800000,20,860,1700000,3300000,13400000,5100000,' Approved'
3,3,' Graduate',' No',9100000,29700000,20,506,7100000,4500000,33300000,12800000,' Rejected'
2620,3,' Not Graduate',' No',2700000,10800000,6,480,4400000,0,10300000,3500000,' Rejected'
222,3,' Graduate',' Yes',7900000,21200000,18,695,13800000,10600000,21800000,4900000,' Approved'
427,2,' Graduate',' No',5500000,14800000,8,364,13000000,4500000,12600000,4500000,' Rejected'
3038,4,' Not Graduate',' Yes',8700000,28200000,12,548,11800000,9900000,19800000,8500000,' Rejected'
2417,2,' Not Graduate',' Yes',1200000,2900000,12,330,400000,1600000,3800000,600000,' Rejected'
2166,4,' Graduate',' Yes',900000,2500000,4,583,1300000,800000,1800000,1100000,' Approved'
1884,2,' Not Graduate',' No',7500000,15400000,8,332,8300000,3100000,23700000,5400000,' Rejected'
1648,4,' Not Graduate',' Yes',3200000,12800000,8,638,4300000,2600000,8000000,3800000,' Approved'
1923,5,' Not Graduate',' Yes',5300000,13700000,18,708,7600000,900000,19200000,5900000,' Approved'
3679,3,' Not Graduate',' No',1200000,3100000,10,438,1500000,2200000,3900000,1000000,' Rejected'
1440,3,' Not Graduate',' No',3900000,10500000,20,821,1600000,6300000,11000000,3900000,' Approved'
3427,1,' Graduate',' Yes',8700000,30000000,12,543,21900000,12700000,30600000,12700000,' Rejected'
439,5,' Not Graduate',' No',6500000,18500000,4,891,13600000,3300000,23600000,7100000,' Approved'
743,5,' Graduate',' Yes',2300000,6100000,6,339,5100000,2500000,8300000,2400000,' Rejected'
813,5,' Not Graduate',' Yes',5200000,18100000,8,809,2400000,6900000,14000000,5500000,' Approved'
2731,2,' Graduate',' Yes',9900000,33400000,14,783,16600000,16100000,21000000,9500000,' Approved'
968,4,' Not Graduate',' No',500000,1800000,20,777,900000,300000,1300000,200000,' Approved'
3055,2,' Not Graduate',' Yes',9200000,33000000,14,874,3900000,9700000,31200000,6600000,' Approved'
3761,1,' Not Graduate',' No',1600000,5600000,6,846,600000,2800000,4600000,1200000,' Approved'
563,1,' Graduate',' Yes',7100000,15200000,8,389,5900000,900000,24300000,5900000,' Rejected'
1589,0,' Graduate',' Yes',5600000,19300000,6,407,3400000,3600000,14200000,8400000,' Rejected'
790,2,' Graduate',' No',3100000,8700000,18,544,5300000,1100000,12200000,1500000,' Rejected'
23,4,' Graduate',' Yes',6500000,25700000,18,311,13100000,1700000,19500000,8500000,' Rejected'
4119,2,' Graduate',' No',2200000,8300000,6,596,4700000,3000000,8500000,1800000,' Approved'
4251,1,' Graduate',' Yes',6000000,13400000,12,731,1300000,4300000,21300000,6900000,' Approved'
322,4,' Not Graduate',' Yes',6400000,23500000,2,485,7300000,2700000,23600000,3900000,' Approved'
1848,4,' Graduate',' No',4600000,16600000,16,805,4800000,8000000,11500000,2800000,' Approved'
2815,5,' Graduate',' No',4100000,10200000,12,431,6200000,2200000,13700000,4300000,' Rejected'
3708,3,' Graduate',' Yes',1700000,5800000,10,524,4100000,2900000,6600000,800000,' Rejected'
3294,3,' Not Graduate',' Yes',9400000,32100000,10,617,22700000,5800000,29400000,11400000,' Approved'
3938,2,' Not Graduate',' No',9700000,30200000,14,769,23700000,13600000,26400000,7500000,' Approved'
3328,0,' Not Graduate',' Yes',7700000,16900000,14,473,22100000,4000000,29000000,6400000,' Rejected'
2029,0,' Not Graduate',' No',9500000,24400000,14,769,14400000,2400000,30800000,14200000,' Approved'
1826,3,' Not Graduate',' No',8100000,30400000,12,606,900000,1100000,31900000,11600000,' Approved'
1320,4,' Graduate',' Yes',3800000,7800000,20,891,4600000,7000000,14300000,3300000,' Approved'
3960,2,' Graduate',' No',5200000,16200000,12,890,10500000,9600000,15800000,3900000,' Approved'
2587,1,' Not Graduate',' Yes',9800000,36000000,12,629,28000000,4100000,29800000,11200000,' Approved'
3490,5,' Graduate',' Yes',9000000,31400000,2,677,12000000,10800000,20700000,8700000,' Approved'
118,0,' Not Graduate',' No',600000,1600000,6,647,1500000,600000,1500000,700000,' Approved'
2775,3,' Graduate',' Yes',8300000,27700000,4,596,20500000,15400000,21400000,7400000,' Approved'
213,2,' Not Graduate',' No',8500000,32700000,18,471,12600000,9400000,33900000,12500000,' Rejected'
3495,4,' Not Graduate',' Yes',8800000,22200000,10,512,6800000,4000000,31900000,9900000,' Rejected'
569,4,' Not Graduate',' No',4500000,9800000,16,895,9800000,8200000,13900000,5500000,' Approved'
4156,3,' Not Graduate',' No',7400000,23500000,2,460,20600000,12200000,25900000,9200000,' Approved'
1030,2,' Not Graduate',' Yes',9500000,37000000,8,887,21800000,18300000,19200000,11700000,' Approved'
285,4,' Not Graduate',' Yes',600000,1800000,8,417,1700000,700000,1800000,800000,' Rejected'
123,1,' Not Graduate',' No',8500000,32900000,10,570,5100000,6200000,20500000,5500000,' Approved'
3126,0,' Graduate',' Yes',3300000,9700000,14,356,9800000,4800000,9400000,1900000,' Rejected'
527,0,' Not Graduate',' No',2400000,5000000,14,580,5900000,4400000,5500000,3200000,' Approved'
2834,0,' Graduate',' Yes',7500000,28900000,10,632,21700000,10700000,24700000,9900000,' Approved'
3493,2,' Not Graduate',' No',9000000,27300000,14,353,22600000,4400000,26900000,7200000,' Rejected'
3131,3,' Not Graduate',' No',7100000,27900000,8,583,8900000,7600000,19600000,6300000,' Approved'
3694,5,' Graduate',' Yes',5400000,21400000,12,399,4000000,9700000,12400000,6800000,' Rejected'
4154,1,' Graduate',' No',7700000,17100000,14,603,11100000,12100000,30300000,7100000,' Approved'
1017,3,' Not Graduate',' No',1600000,3900000,20,804,900000,2500000,3200000,800000,' Approved'
2603,3,' Not Graduate',' Yes',4400000,10900000,18,611,8600000,6300000,8800000,3000000,' Approved'
1405,5,' Graduate',' No',6100000,23500000,16,300,300000,700000,22800000,4800000,' Rejected'
1011,0,' Graduate',' No',5600000,13400000,2,460,3400000,4100000,14800000,4100000,' Rejected'
2308,5,' Not Graduate',' Yes',6700000,17600000,14,843,12700000,200000,19500000,5600000,' Approved'
1321,1,' Not Graduate',' No',4900000,14800000,12,895,8600000,8200000,18300000,5200000,' Approved'
1065,0,' Not Graduate',' Yes',5600000,19100000,14,875,16700000,4700000,15100000,7700000,' Approved'
4115,4,' Graduate',' No',400000,1000000,20,692,500000,400000,1600000,200000,' Approved'
264,5,' Not Graduate',' No',9500000,22200000,20,352,24500000,0,30800000,7000000,' Rejected'
1917,4,' Not Graduate',' No',1600000,6200000,18,554,3200000,800000,5500000,1100000,' Approved'
1176,3,' Graduate',' Yes',7700000,16200000,6,380,11500000,15100000,22500000,6400000,' Rejected'
2117,2,' Graduate',' No',4500000,9600000,16,404,1800000,6000000,17000000,2700000,' Rejected'
2499,1,' Not Graduate',' No',2600000,8100000,12,854,4500000,5100000,6300000,2500000,' Approved'
4048,3,' Not Graduate',' No',6400000,23000000,8,520,12100000,11400000,16000000,3800000,' Rejected'
4047,2,' Graduate',' No',6500000,16200000,10,809,14000000,4700000,13200000,8600000,' Approved'
1193,3,' Graduate',' Yes',9300000,26100000,14,636,4700000,16100000,34500000,11600000,' Approved'
1030,2,' Not Graduate',' Yes',9500000,37000000,8,887,21800000,18300000,19200000,11700000,' Approved'
1092,4,' Not Graduate',' Yes',600000,2100000,6,558,1300000,1000000,2200000,300000,' Approved'
2549,2,' Graduate',' Yes',1800000,5500000,6,448,2900000,300000,5600000,1300000,' Rejected'
926,5,' Graduate',' No',3000000,8000000,6,333,3200000,400000,8200000,2200000,' Rejected'
604,4,' Not Graduate',' Yes',5600000,17500000,10,528,14200000,2300000,12100000,7200000,' Rejected'
208,0,' Graduate',' No',7100000,15400000,18,707,10300000,10800000,19600000,5800000,' Approved'
1968,3,' Not Graduate',' Yes',6000000,18700000,18,783,2800000,8500000,20300000,8800000,' Approved'
