Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
TOYOTA,Camry,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
PORSCHE,'911 CARRERA',MINICOMPACT,3.4,6,M7,Z,12.5,8.6,10.7,26,246
JEEP,COMPASS,'SUV - SMALL',2.4,4,A6,X,11.1,8.3,9.8,29,225
VOLKSWAGEN,'Golf SportWagen 4MOTION','STATION WAGON - SMALL',1.8,4,AM6,X,10.8,8.1,9.6,29,224
PORSCHE,'911 CARRERA 4',MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26,251
VOLKSWAGEN,'Beetle Dune Convertible',SUBCOMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
MERCEDES-BENZ,'E 400 CABRIOLET',SUBCOMPACT,3.5,6,AS7,Z,11.5,8.1,10,28,230
KIA,'FORTE (GDI)',MID-SIZE,2,4,AS6,X,9.4,7,8.3,34,198
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.5,9.5,12.8,22,300
BMW,'328d xDRIVE',COMPACT,2,4,AS8,D,7.8,5.9,7,40,184
HYUNDAI,Elantra,MID-SIZE,1.6,4,M6,X,10.7,7.8,9.4,30,221
TOYOTA,Avalon,MID-SIZE,3.5,6,AS8,X,10.9,7.6,9.4,30,220
FIAT,500X,'SUV - SMALL',1.4,4,M6,X,9.5,7.1,8.4,34,197
NISSAN,'NV200 CARGO VAN','SPECIAL PURPOSE VEHICLE',2,4,AV,X,10,8.5,9.3,30,214
MERCEDES-BENZ,'AMG GLE 43 4MATIC Coupe','SUV - STANDARD',3,6,A9,Z,14.1,10.9,12.6,22,297
CADILLAC,'CTS SEDAN Vsport',MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
JEEP,COMPASS,'SUV - SMALL',2,4,A6,X,11.1,8.3,9.8,29,225
PORSCHE,'Cayman GTS',TWO-SEATER,2.5,4,M6,Z,12.3,9.4,11,26,257
HYUNDAI,ELANTRA,MID-SIZE,2,4,AS6,X,9.7,6.7,8.3,34,194
MINI,'Cooper 5 Door',SUBCOMPACT,1.5,3,M6,Z,8.4,6.3,7.5,38,175
JEEP,'CHEROKEE FFV','SUV - SMALL',2.4,4,A9,X,10.9,7.7,9.5,30,223
GMC,'TERRAIN FFV','SUV - SMALL',2.4,4,A6,E,15.6,10.8,13.4,21,214
MERCEDES-BENZ,'Maybach S 650',FULL-SIZE,6,12,A7,Z,18.4,11.1,15.1,19,355
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',3.6,6,A8,X,13.4,9.6,11.7,24,274
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,263
LEXUS,'GS 350 AWD',MID-SIZE,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.6,8.4,11.2,25,264
GMC,'CANYON 4WD','PICKUP TRUCK - SMALL',2.8,4,A6,D,12,8.2,10.3,27,277
RAM,'1500 4X4','PICKUP TRUCK - STANDARD',5.7,8,A6,X,18.7,13.3,16.3,17,382
KIA,FORTE,MID-SIZE,2,4,AS6,X,9.7,6.7,8.3,34,191
INFINITI,'Q60 AWD',SUBCOMPACT,2,4,AS7,Z,11.2,8.5,10,28,233
TOYOTA,'Highlander AWD','SUV - STANDARD',3.5,6,AS8,X,12.1,9,10.6,27,250
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6,A6,E,18.9,12.9,16.2,17,259
BUICK,'LACROSSE eASSIST',MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,190
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',5,8,AS6,X,16,11.3,13.8,20,324
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4,A6,X,12,9.1,10.7,26,246
DODGE,'CHARGER AWD FFV',FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,243
MERCEDES-BENZ,'SLS AMG ROADSTER',TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361
FIAT,500L,'STATION WAGON - SMALL',1.4,4,A6,X,10.6,7.8,9.4,30,216
TOYOTA,'CAMRY HYBRID XLE/SE',MID-SIZE,2.5,4,AV,X,5.8,6.2,6,47,138
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,X,8.4,6.9,7.7,37,177
GMC,'Yukon XL 4WD','SUV - STANDARD',6.2,8,A10,Z,17.1,11.3,14.5,19,340
FIAT,'500 HATCHBACK TURBO',MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,183
DODGE,'AVENGER FFV',MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',6.2,8,A8,Z,16.1,11.4,14,20,322
CADILLAC,'CTS Vsport',MID-SIZE,3.6,6,AS8,Z,15,9.9,12.7,22,299
CADILLAC,'CT4-V AWD',COMPACT,2.7,4,AS10,Z,11.7,8.4,10.2,28,238
GENESIS,'G90 AWD',FULL-SIZE,5,8,AS8,Z,15.2,10.2,13,22,306
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4,AV6,X,7.2,7.9,7.5,38,176
MAZDA,'MAZDA3 5-DOOR (SIL)',MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,190
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.5,9.5,12.8,22,300
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
MASERATI,'GHIBLI S',MID-SIZE,3,6,AS8,Z,14.5,10,12.4,23,293
CADILLAC,XT4,'SUV - SMALL',2,4,AS9,Z,9.8,7.8,8.9,32,209
BMW,'430i xDRIVE CABRIOLET',SUBCOMPACT,2,4,AS8,Z,10.7,7.3,9.1,31,214
MITSUBISHI,'RVR 4WD','SUV - SMALL',2.4,4,AV6,X,10.4,8.5,9.6,29,221
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4,M6,X,8.4,6.9,7.7,37,177
MERCEDES-BENZ,'GL 350 BLUETEC 4MATIC','SUV - STANDARD',3,6,AS7,D,13.6,10,12,24,322
BMW,'M6 CABRIOLET',SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2,4,AS6,X,11.5,8.5,10.2,28,235
JEEP,'GRAND CHEROKEE 4X4','SUV - STANDARD',5.7,8,A8,X,16.6,10.7,14,20,328
HYUNDAI,Palisade,'SUV - STANDARD',3.8,6,AS8,X,11.9,8.8,10.5,27,250
MERCEDES-BENZ,'AMG S 65',FULL-SIZE,6,12,AS7,Z,17.6,10.9,14.6,19,349
CHEVROLET,EQUINOX,'SUV - SMALL',1.6,4,A6,D,8.5,6,7.4,38,198
VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223
TOYOTA,'Highlander Hybrid AWD','SUV - STANDARD',2.5,4,AV,X,6.7,6.8,6.7,42,158
SUBARU,'LEGACY AWD',MID-SIZE,2.5,4,AV7,X,9.3,7,8.3,34,193
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
JEEP,'CHEROKEE 4X4 FFV','SUV - SMALL',2.4,4,A9,E,15.9,11,13.7,21,226
CHEVROLET,TRAVERSE,'SUV - STANDARD',2,4,A9,Z,11.7,9,10.5,27,246
TOYOTA,'SEQUOIA 4WD','SUV - STANDARD',5.7,8,AS6,X,19,13.9,16.7,17,384
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6,AS6,X,12.9,9.4,11.3,25,265
TOYOTA,'HIGHLANDER HYBRID AWD','SUV - STANDARD',3.5,6,AV6,X,8,8.6,8.3,34,191
NISSAN,'PATHFINDER 4WD','SUV - SMALL',3.5,6,AV,X,12.1,8.9,10.7,26,250
MINI,'COOPER S 5 DOOR',SUBCOMPACT,2,4,M6,Z,10,7,8.6,33,198
VOLVO,'V60 CC T5 AWD','STATION WAGON - SMALL',2,4,AS8,X,10.8,7.8,9.4,30,220
NISSAN,FRONTIER,'PICKUP TRUCK - SMALL',2.5,4,M5,X,12.2,10.4,11.4,25,268
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.4,12.7,22,298
SCION,FR-S,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
MERCEDES-BENZ,'AMG GLE 63 S COUPE 4MATIC','SUV - STANDARD',5.5,8,AS7,Z,17.2,12.8,15.2,19,363
MERCEDES-BENZ,'CLS 400 4MATIC',COMPACT,3,6,AS7,Z,12.2,8.8,10.7,26,252
TOYOTA,C-HR,COMPACT,2,4,AS7,X,8.7,7.5,8.2,34,189
CHEVROLET,'CORVETTE Z06',TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
MERCEDES-BENZ,'G 63 AMG','SUV - STANDARD',5.5,8,AS7,Z,20,16.6,18.5,15,426
GMC,'YUKON XL 4WD','SUV - STANDARD',5.3,8,A6,E,22.1,15.4,19.1,15,306
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,9,6.7,8,35,187
AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.4,7.6,37,177
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.5,8.3,11.2,25,258
CHEVROLET,'EXPRESS 2500 PASSENGER FFV','VAN - PASSENGER',6,8,A6,E,30.3,20.5,25.9,11,414
DODGE,'JOURNEY FFV','SUV - SMALL',3.6,6,A6,E,19.1,13.2,16.4,17,274
